City_ID,City,Country,Date,lat,lng,Humidity,Wind Speed,Max Temp,Cloudiness
96,Kharabali,RU,1585697454,47.42,47.26,61,16.89,50.74,{'all': 80}
97,Morros,BR,1585697454,-9.45,-46.3,62,4.76,76.12,{'all': 90}
98,Mayya,RU,1585697454,61.73,130.28,85,2.24,21.2,{'all': 40}
99,Bathsheba,BB,1585697246,13.22,-59.52,69,10.29,77.0,{'all': 20}
100,Thohoyandou,ZA,1585697455,-22.95,30.48,49,1.5,64.33,{'all': 31}
101,Kushima,JP,1585697290,31.46,131.23,87,1.12,60.8,{'all': 90}
102,Saquarema,BR,1585697455,-22.92,-42.51,88,2.24,77.0,{'all': 75}
103,Dunedin,NZ,1585697188,-45.87,170.5,76,3.2,56.03,{'all': 2}
104,Port Alfred,ZA,1585697248,-33.59,26.89,81,17.05,66.65,{'all': 89}
105,Almaznyy,RU,1585697455,48.04,40.05,64,4.47,35.6,{'all': 20}
106,Ipirá,BR,1585697455,-12.16,-39.74,77,8.43,74.46,{'all': 38}
107,Codrington,AU,1585697455,-38.27,141.97,62,6.76,63.68,{'all': 35}
108,Rome,US,1585697344,43.21,-75.46,61,5.82,48.2,{'all': 90}
109,Carnarvon,AU,1585697247,-24.87,113.63,82,9.17,68.0,{'all': 98}
110,Talnakh,RU,1585697455,69.49,88.4,92,20.13,12.2,{'all': 75}
111,Ust-Nera,RU,1585697456,64.57,143.2,83,4.03,11.1,{'all': 100}
112,Yangi Marg`ilon,UZ,1585697456,40.43,71.72,67,6.93,57.2,{'all': 100}
113,Sobolevo,RU,1585697456,54.43,31.9,79,9.78,27.18,{'all': 43}
114,Beringovskiy,RU,1585697245,63.05,179.32,93,18.84,32.23,{'all': 88}
115,Hasaki,JP,1585697457,35.73,140.83,93,6.93,55.4,{'all': 75}
116,Ballina,AU,1585697457,-28.87,153.57,88,9.17,77.0,{'all': 63}
117,Saldanha,ZA,1585697457,-33.01,17.94,77,16.11,60.8,{'all': 0}
118,Broome,US,1585697261,42.25,-75.83,87,4.72,46.99,{'all': 90}
119,Lafayette,US,1585697458,30.23,-92.07,59,18.34,68.0,{'all': 75}
120,Arraial do Cabo,BR,1585697458,-22.97,-42.03,88,2.24,77.0,{'all': 75}
121,Paamiut,GL,1585697458,61.99,-49.67,92,19.57,17.78,{'all': 0}
122,Finspång,SE,1585697459,58.71,15.77,80,13.87,39.2,{'all': 48}
123,Khatanga,RU,1585697459,71.97,102.5,91,8.34,-7.47,{'all': 54}
124,Maningrida,AU,1585697459,-12.07,134.27,75,8.75,82.99,{'all': 58}
125,Lebu,CL,1585697255,-37.62,-73.65,77,17.92,56.23,{'all': 0}
126,Bubaque,GW,1585697459,11.28,-15.83,70,11.63,79.27,{'all': 34}
127,Arica,CL,1585697459,-18.48,-70.3,73,6.93,69.8,{'all': 40}
128,Hambantota,LK,1585697459,6.12,81.12,78,10.16,77.47,{'all': 21}
129,San Quintín,MX,1585697459,30.48,-115.95,65,9.62,64.94,{'all': 100}
130,Haines Junction,CA,1585697459,60.75,-137.51,79,3.78,15.69,{'all': 98}
131,Panabá,MX,1585697459,21.28,-88.27,64,8.3,82.18,{'all': 26}
132,Saint Anthony,US,1585697278,45.02,-93.22,32,5.82,54.0,{'all': 1}
133,East London,ZA,1585697460,-33.02,27.91,80,19.1,68.81,{'all': 100}
134,Faya,SA,1585697460,18.39,42.45,63,5.82,62.6,{'all': 27}
135,Latung,PH,1585697460,5.5,120.88,74,9.89,82.31,{'all': 70}
136,Departamento de Maldonado,UY,1585697460,-34.67,-54.92,77,12.75,68.0,{'all': 20}
137,Penzance,GB,1585697460,50.12,-5.54,74,9.17,46.99,{'all': 7}
138,Jiexiu,CN,1585697460,37.02,111.91,63,10.29,43.79,{'all': 100}
139,Pilar,BR,1585697460,-9.6,-35.96,94,6.93,77.0,{'all': 75}
140,San Luis,AR,1585697460,-33.3,-66.34,72,2.33,65.62,{'all': 89}
141,Boralday,KZ,1585697461,43.36,76.86,42,2.24,48.2,{'all': 90}
142,Ponta Delgada,PT,1585697461,37.73,-25.67,62,11.41,53.6,{'all': 40}
143,Steenwijk,NL,1585697461,52.79,6.12,80,4.7,36.0,{'all': 90}
144,Stowe,US,1585697461,40.25,-75.68,81,4.7,45.0,{'all': 90}
145,Mar del Plata,AR,1585697461,-38.0,-57.56,59,13.87,64.99,{'all': 75}
146,Barranca,PE,1585697461,-10.75,-77.77,74,6.24,74.19,{'all': 83}
147,Port Elizabeth,ZA,1585697461,-33.92,25.57,77,17.22,62.6,{'all': 75}
148,Ambulu,ID,1585697260,-8.35,113.61,73,2.39,80.8,{'all': 32}
149,Bafoulabé,ML,1585697461,13.81,-10.83,15,5.57,90.63,{'all': 46}
150,Pudozh,RU,1585697461,61.81,36.53,89,12.8,25.88,{'all': 100}
151,Kutum,SD,1585697461,14.2,24.67,15,5.82,70.07,{'all': 12}
152,Vestmannaeyjar,IS,1585697461,63.44,-20.27,75,23.94,39.99,{'all': 97}
153,Avera,US,1585697461,33.19,-82.53,87,3.36,60.8,{'all': 90}
154,Pangnirtung,CA,1585697461,66.15,-65.71,47,10.29,-11.2,{'all': 5}
155,Coahuayana Viejo,MX,1585697462,18.73,-103.68,51,11.41,84.2,{'all': 5}
156,Brae,GB,1585697462,60.4,-1.35,81,20.8,44.6,{'all': 97}
157,Hirara,JP,1585697462,24.8,125.28,94,16.11,71.6,{'all': 75}
158,Teya,RU,1585697274,60.38,92.63,95,2.13,26.76,{'all': 99}
159,Balaipungut,ID,1585697462,1.05,101.28,95,1.05,75.72,{'all': 67}
160,Abhā,SA,1585697462,18.22,42.51,63,5.82,62.6,{'all': 19}
161,Baykit,RU,1585697462,61.67,96.37,90,2.3,10.98,{'all': 44}
162,Novikovo,RU,1585697463,51.15,37.89,85,10.58,28.71,{'all': 8}
163,Narón,ES,1585697268,43.52,-8.15,81,4.7,52.0,{'all': 40}
164,Norman Wells,CA,1585697262,65.28,-126.83,47,21.92,15.8,{'all': 5}
165,Dudinka,RU,1585697464,69.41,86.18,92,20.13,12.2,{'all': 75}
166,Chokurdakh,RU,1585697464,70.63,147.92,91,4.14,-2.18,{'all': 94}
167,Clyde River,CA,1585697464,70.47,-68.59,71,12.75,3.2,{'all': 90}
168,Mayo,US,1585697466,38.89,-76.51,75,11.41,46.99,{'all': 90}
169,Máncora,PE,1585697255,-4.11,-81.05,72,7.05,76.78,{'all': 50}
170,Savannah Bight,HN,1585697466,16.45,-85.85,78,21.88,81.77,{'all': 0}
171,Ancud,CL,1585697304,-41.87,-73.82,66,5.82,51.8,{'all': 27}
172,Mweka,CD,1585697466,-4.85,21.57,78,0.09,70.47,{'all': 81}
173,Alta Floresta,BR,1585697306,-9.88,-56.09,85,2.28,74.66,{'all': 97}
174,Juegang,CN,1585697466,32.32,121.19,90,1.01,48.99,{'all': 47}
175,Hofn,IS,1585697467,64.25,-15.21,71,14.72,38.79,{'all': 47}
176,Saint-Philippe,RE,1585697467,-21.36,55.77,83,6.93,75.2,{'all': 3}
177,Coquimbo,CL,1585697467,-29.95,-71.34,87,8.05,60.8,{'all': 20}
178,Dalbandin,PK,1585697468,28.89,64.41,24,2.04,66.63,{'all': 0}
179,Seoul,KR,1585697039,37.57,126.98,34,4.23,51.8,{'all': 20}
180,Lixouri,GR,1585697468,38.2,20.43,77,5.99,51.01,{'all': 57}
181,Muros,ES,1585697299,42.78,-9.06,93,6.93,51.01,{'all': 20}
182,Itaituba,BR,1585697468,-4.28,-55.98,94,0.4,76.37,{'all': 100}
